,종목명,업종명,종목코드,결산월,회계연도,주기,총자산(천원),유동자산(천원),매출채권(천원),재고자산(천원),유형자산(천원),부채및자본총계(천원),총부채(천원),유동부채(천원),매입채무(천원),단기차입금(천원),장기차입금(천원),총자본(천원),매출액(천원),매출원가(천원),영업이익(천원),연구개발비(천원),광고선전비(천원),당기순이익(천원),영업활동으로인한현금흐름(천원),투자활동으로인한현금흐름(천원),재무활동으로인한현금흐름(천원),자기자본비율(%),차입금의존도(%),부채비율(%),차입금비율(%),*매출원가율(%),ROE(당기순이익)(%),영업이익률(%),EBIT(천원),매출총이익률(%),총자산(천원)_증가율(%),유동자산(천원)_증가율(%),유형자산(천원)_증가율(%),부채및자본총계(천원)_증가율(%),총부채(천원)_증가율(%),유동부채(천원)_증가율(%),총자본(천원)_증가율(%),매출액(천원)_증가율(%),영업이익(천원)_증가율(%),당기순이익(천원)_증가율(%),영업활동으로인한현금흐름(천원)_증가율(%),투자활동으로인한현금흐름(천원)_증가율(%),총자산(천원)_회전율,총자본(천원)_회전율,총부채(천원)_회전율,지배구조_등급차이
20,CJ대한통운,운수창고업,A000120,12,2017,Annual,6285983376.0,1803525145.0,1307444028,15658455,2429542803.0,6285983376.0,3526210932.0,1890070241,700583305,476903075,468350842,2759772444.0,7110391208.0,6354235538.0,235651420,0,19548423,54178650,246413341,-689603421,456478719,43.9,35.65,127.77,81.2,89.37,1.97,3.31,235651420.4,10.63,13.851903593983362,19.34917731671222,19.29740670955793,13.851903593983362,26.754220773868177,38.734059207633045,0.7486396667706785,16.90981186839091,3.154783903958469,-20.57096327816757,18.237915990674143,-2.2478245057208635,1.1311501769393162,2.5764411205201525,2.0164395565432387,0.0
21,CJ제일제당,음식료품,A097950,12,2011,Annual,11339519300.0,3325033575.0,1230261455,1075179547,4990814918.0,11339519300.0,6643045604.0,3779666472,466575116,1892711909,1153752239,4696473696.0,6538208074.0,4771973689.0,459920951,32622467,75439341,314022590,-288381082,-1420107227,1878417937,41.42,40.85,141.45,98.64,72.99,8.52,7.03,459920951.0,27.01,88.91128706872873,51.63598448165801,78.04662627788224,88.91128706872873,99.43006987890112,57.47814241428506,75.79596137964674,13.161234925242129,1.6689604436828542,-52.40331233715583,-182.24144788756897,-395.1218150084213,0.5765859999021299,1.392152601550523,0.984218453966826,-1.0
22,CJ제일제당,음식료품,A097950,12,2012,Annual,12363882660.0,3363495811.0,1164446237,1139255403,5575156974.0,12363882660.0,7142847716.0,3389358796,638530062,1642298568,1168824144,5221034944.0,9877532183.0,7696632173.0,615528667,34900583,70819699,310715670,805051777,-1156311478,456134987,42.23,39.95,136.81,94.61,77.92,6.27,6.23,615528667.0,22.08,9.033569527061005,1.156747296905114,11.70834955014055,9.033569527061005,7.523689310503179,-10.326511053063092,11.16925765914052,51.07399567595958,33.833578501188995,-1.053083474026506,-379.16247883416986,-18.5757627300632,0.7989021292604211,1.8918724522905623,1.382856330658471,1.0
23,CJ제일제당,음식료품,A097950,12,2013,Annual,13004490092.0,3705058462.0,1367698827,1006681614,6254477598.0,13004490092.0,8191910984.0,3708909347,720032707,1519777463,1791039503,4812579108.0,10847718244.0,8769557560.0,345479026,31879664,60113279,71061595,590904368,-769103669,60720288,37.01,45.02,170.22,121.66,80.84,1.42,3.18,345479026.0,19.16,5.181280424736734,10.15498963557353,12.18478021637852,5.181280424736734,14.686905135189932,9.428053216942445,-7.823273362102212,9.822150341051428,-43.872796748230094,-77.12970350030946,-26.60045168746954,-33.48646245990131,0.8341517558364872,2.2540342715546693,1.3241987449799173,0.0
24,CJ제일제당,음식료품,A097950,12,2014,Annual,13382531013.0,3973270952.0,1550189237,1065579494,6383896491.0,13382531013.0,8432650582.0,4122438480,829508678,1568249389,1594127294,4949880431.0,11701797228.0,9258425633.0,579930251,29315349,54351316,137851320,688561505,-537171145,-141392305,36.99,44.44,170.36,120.15,79.12,2.82,4.96,579930251.0,20.88,2.9070030299193306,7.239089281609279,2.0692198664423067,2.9070030299193306,2.938747728951152,11.149615542221024,2.8529676067404752,7.873351471609258,67.86265079953073,93.98849688076942,16.526724507137168,-30.15621083976392,0.8744083773564725,2.364056544621613,1.3876772331795877,0.0
25,CJ제일제당,음식료품,A097950,12,2015,Annual,13751265058.0,4018510915.0,1623243021,1097567509,6690180982.0,13751265058.0,8366031773.0,4335743182,849032607,1440731948,847546302,5385233285.0,12924472295.0,10038444150.0,751413820,41907485,63701289,253666762,1154573133,-693002656,-364487974,39.16,41.79,155.35,106.7,77.67,4.91,5.81,751413820.0,22.33,2.7553386174992367,1.1386075489573155,4.797767185476753,2.7553386174992367,-0.790010309951672,5.174236147727784,8.79521960315408,10.4486092450345,29.569688545183336,84.01475009452213,67.67901263954627,29.009657806545054,0.9398751489762752,2.3999837353378464,1.54487487565032,0.0
26,CJ제일제당,음식료품,A097950,12,2016,Annual,15766238539.0,4880693006.0,2028582036,1280152136,7280517951.0,15766238539.0,9705761673.0,4699232648,1113728302,1801456466,1155176755,6060476866.0,14563257246.0,11275152096.0,843638184,44597484,59696396,353548749,800141934,-1408917160,725943103,38.44,42.26,160.15,109.93,77.42,6.18,5.79,843638184.0,22.58,14.653004450872388,21.45526313694235,8.823931229787462,14.653004450872388,16.013923163951628,8.383556191912845,12.538799068943218,12.679704931813628,12.273445276798345,39.37527574069794,-30.69802932959813,103.30617030131556,0.9236989031959488,2.402988670363815,1.5004754636117676,0.0
27,CJ제일제당,음식료품,A097950,12,2017,Annual,16868123895.0,4963468349.0,2254297260,1303515516,8179383526.0,16868123895.0,10724270560.0,5496914149,1291759319,1913735363,949940590,6143853335.0,16477174023.0,12922488246.0,776575241,43255652,71932925,412797743,1180837049,-1463909010,265353628,36.42,42.3,174.55,116.12,78.43,6.76,4.71,776575241.0,21.57,6.988891822702881,1.6959752006168172,12.34617620682521,6.988891822702881,10.493858404058498,16.974718230634835,1.3757410653236102,13.14209276585898,-7.9492541082042845,16.75836618502644,47.578448125679664,3.9031286977865953,0.9768231562422964,2.681895729693554,1.53643774006015,0.0
28,DB하이텍,전기전자,A000990,12,2011,Annual,1199043869.0,279725558.0,78003676,77112663,758902417.0,1199043869.0,890982181.0,794704783,23196334,5398046,0,308061688.0,552216245.0,460440945.0,-35388322,0,0,-97946584,60749180,-23347990,-88776492,25.69,59.0,289.22,229.64,83.38,-27.74,-6.41,-35388322.0,16.62,-13.191464112006502,-10.08215557425346,-7.891035094433086,-13.191464112006502,-9.382576905267614,474.4749713850368,-22.60070789035833,-10.939045401806736,-87.41552139280732,-48.76008553215642,38.55246730037809,-108.72073595244048,0.4605471570114838,1.79255086403344,0.6197837137216552,0.0
29,DB하이텍,전기전자,A000990,12,2012,Annual,1157755031.0,309144147.0,68299932,79262392,685389046.0,1157755031.0,866861695.0,555433290,17740927,5141640,214817416,290893335.0,590786488.0,494003057.0,-15599381,51365000,0,-31324452,73876619,-49272120,-22718301,25.13,58.88,298.0,234.33,83.62,-10.46,-2.64,-15599381.05,16.38,-3.443480181791414,10.516947114285502,-9.68680153775291,-3.443480181791414,-2.7071793930747545,-30.108223596786885,-5.573024387245451,6.984626647483005,-55.919410363678736,-68.01884178012783,21.609244766760625,111.03366927945402,0.5102862627940504,2.030938550035875,0.6815233518883309,0.0
30,DB하이텍,전기전자,A000990,12,2013,Annual,1058391832.0,222960700.0,59216339,72377687,636040366.0,1058391833.0,853635085.0,476867874,29717748,6452198,276846544,204756748.0,493752028.0,404500718.0,-9610612,44409000,0,-83046768,28380938,-14425742,-18089531,19.35,62.57,416.9,323.4,81.92,-33.51,-1.95,-9610612.21,18.08,-8.582402696551094,-27.878078183378964,-7.200097563275032,-8.582402610177041,-1.5258039519210786,-14.14488785863015,-29.61105554377862,-16.42462411902691,-38.3910682096937,165.11802345337117,-61.58332854945623,-70.72230299812551,0.4665115631769161,2.41140784283212,0.5784111228277362,-1.0
31,DB하이텍,전기전자,A000990,12,2014,Annual,984876636.0,247582371.0,81730237,69179569,591787281.0,984876636.0,864173902.0,376436760,36235325,7547467,391619824,120702734.0,567718224.0,430813375.0,45560248,41769000,0,-77008844,48078139,-43635104,1205904,12.26,66.85,715.95,545.5,75.89,-47.32,8.03,45560248.36,24.11,-6.945933800441495,11.043054224354345,-6.957590644490641,-6.945933888361743,1.2345810505199672,-21.06057452719073,-41.05066857186069,14.980433862643295,-574.0618807626403,-7.27051051523161,69.40292459678395,202.4808290623803,0.5764358735381758,4.703441299018132,0.6569490500535852,1.0
32,DB하이텍,전기전자,A000990,12,2015,Annual,984643712.0,337757266.0,92048122,83459568,533140340.0,984643712.0,730586221.0,244044785,44271640,5218482,399748737,254057491.0,666594987.0,436915515.0,124968815,49406000,0,126733352,152722221,-12209258,-71767078,25.8,53.39,287.57,206.91,65.54,67.63,18.75,124968814.9,34.46,-0.0236500685960039,36.422179267359866,-9.910138808812963,-0.0236500685960039,-15.458425750978066,-35.16977858379187,110.48196886741604,17.416520876032337,174.29353545222145,-264.5698668064671,217.65418582445548,-72.01964271701978,0.6769910566391755,2.623795836037757,0.9124111129383043,0.0
33,DB하이텍,전기전자,A000990,12,2016,Annual,986788572.0,368924211.0,110259838,76344778,547700934.0,986788572.0,644871257.0,274231115,44199479,15253525,282487037,341917315.0,773140180.0,483129939.0,172427930,53738000,0,88344018,248312191,-121031883,-118529941,34.65,42.8,188.6,123.51,62.49,29.65,22.3,172427929.7,37.51,0.2178310767499303,9.227616438605343,2.731099657549829,0.2178310767499303,-11.73235431167542,12.369176419811634,34.5826543646375,15.983497487658129,37.97676644369237,-30.29142162988004,62.59074113386552,891.3123549359019,0.7834912178127657,2.2611904869456523,1.1989062492825602,0.0
34,DB하이텍,전기전자,A000990,12,2017,Annual,993950720.0,353662841.0,85706099,75018890,555566835.0,993950720.0,538152775.0,145225195,33883223,11286143,315595985,455797946.0,679737744.0,426170592.0,143195168,54428000,0,110175089,183124083,-101904145,-85790774,45.86,35.77,118.07,78.01,62.7,27.62,21.07,143195167.8,37.3,0.7258037033691878,-4.1367222711225065,1.436167169289515,0.7258037033691878,-16.54880425225713,-47.04277266275929,33.30648259214366,-12.080918624614744,-16.9536118655487,24.71143094261345,-26.25247988730445,-15.803883675841012,0.6838746935059316,1.491313749799127,1.2630943768709546,0.0
35,DL,화학,A000210,12,2011,Annual,10764643410.0,7158837863.0,858998000,1378300987,1634884875.0,10764643410.0,6127245030.0,4649731416,1390620000,469366000,577693653,4637398379.0,7988145801.0,7058468438.0,437456651,0,24650000,379837529,501202510,-646538398,189714696,43.08,18.46,132.13,42.84,88.36,8.56,5.48,437456650.7,11.64,10.48400324039449,11.04736482786024,17.95345432105213,10.48400324039449,11.34286554190469,9.132604096833008,9.369330065769166,7.402493898230888,12.860277901148075,6.111746430520837,-16.59186210111756,48.11416596909,0.7420724957390855,1.72254896995124,1.3037092138291717,-1.0
36,DL,화학,A000210,12,2012,Annual,11006469363.0,7292090328.0,987232429,1154687292,1517213236.0,11006469363.0,6087925283.0,4778509308,1510322000,336368000,378504000,4918544080.0,10253347411.0,9219385961.0,486051971,0,9706000,400787862,816888129,-332656984,-331413586,44.69,13.66,123.77,30.57,89.92,8.39,4.74,486051971.2,10.08,2.246483638978236,1.8613700652267529,-7.197548940563781,2.246483638978236,-0.6417198399522817,2.7695770030257583,6.062573840391639,28.35703887273102,11.10860239269742,5.5156037517293255,62.98564207110615,-48.54799265920785,0.9315746106074906,2.0846305825930505,1.68421045501849,0.0
37,DL,화학,A000210,12,2013,Annual,10783047096.0,6933025544.0,1126780129,1036183567,1402233581.0,10783047096.0,5912711841.0,4460407571,1612364000,327261000,415848000,4870335255.0,9846917119.0,9338152143.0,39658239,0,9505000,-10332432,34694667,-269731488,320313170,45.17,17.1,121.4,37.86,94.83,-0.21,0.4,39658238.55,5.17,-2.0299176750636305,-4.924030941049528,-7.578345104814255,-2.0299176750636305,-2.8780484952610763,-6.656924084409466,-0.9801442096662116,-3.9638790700096016,-91.84074103878082,-102.57803016998554,-95.75282517050752,-18.916030333516165,0.913185023800252,2.0218150503891748,1.66538085802176,1.0
38,DL,화학,A000210,12,2014,Annual,10596719329.0,6423125534.0,939757997,933605182,1341688220.0,10596719329.0,6131464267.0,4300520683,1489924811,325936000,799386533,4465255062.0,9294733962.0,9098282095.0,-270236201,0,10156000,-440509288,31727120,-348620305,124892918,42.14,17.98,137.31,42.66,97.89,-9.44,-2.91,-270236201.2,2.11,-1.7279695186448674,-7.354653560180225,-4.31777999189138,-1.7279695186448674,3.699697057501172,-3.584580230728873,-8.317295869604358,-5.60767548184743,-781.4125080036963,4163.3649851264445,-8.553323195175789,29.24716635233926,0.8771331648431169,2.081568428441994,1.515907710989193,0.0
39,DL,화학,A000210,12,2015,Annual,12064893870.0,7177289251.0,1153194000,829385505,1831589717.0,12064893870.0,7259124557.0,5107284576,1575599591,538644265,832807278,4805769313.0,9513673300.0,8736535497.0,271768395,0,9750000,216969093,384858216,-102005211,510682475,39.83,24.49,151.05,61.48,91.83,4.68,2.86,271768395.3,8.17,13.854991298882968,11.741382182364802,36.51381071229798,13.854991298882968,18.39137016697874,18.75967940787136,7.625863389032972,2.355520221397378,-200.56698325181088,-149.25414716794802,1113.0260042512523,-70.74031273078027,0.7885418141684822,1.979635866887063,1.3105813552718186,0.0
